Sno,Donor City,Donor State,Donor Zip,Donor Budget,Shelter 1
378,Southbury,Connecticut,64,10,1
379,Grand Blanc,Michigan,484,100,1
380,Thibodaux,Louisiana,703,15,1
381,North Las Vegas,Nevada,890,100,1
382,Germantown,Tennessee,381,100,1
383,Eden,Texas,768,150,1
384,Weston,Florida,333,138.04,1
385,Anaheim,California,928,30,1
386,Allegan,Michigan,490,100,1
387,Oconomowoc,Wisconsin,530,83.54,1
388,Floral Park,New York,110,20,1
389,Jacksonville,Florida,322,50,1
390,East Elmhurst,New York,113,25,1
391,Monroe,North Carolina,281,100,1
392,Foxboro,Massachusetts,20,25,1
393,Culver City,California,902,20,1
394,Dewitt,Michigan,488,10,1
395,Nowata,Oklahoma,740,50,1
396,Pomona,California,917,20,1
397,Raleigh,North Carolina,276,20,1
398,Murrysville,Pennsylvania,156,10,1
399,Honolulu,Hawaii,968,200,1
400,Sycamore,Illinois,601,15,1
401,Asheville,North Carolina,288,25,1
402,Bakersfield,California,933,20,1
403,Marrero,Louisiana,700,50,1
404,Orange,California,928,25,1
405,Phoenix,Arizona,850,183.88,1
406,Tulsa,Oklahoma,741,20,1
407,Fort Lauderdale,Florida,333,20,1
408,Cottage Grove,Minnesota,550,20,1
409,,Massachusetts,,50,1
410,Louisa,Virginia,230,25,1
411,Brooklyn,New York,112,20,1
412,Cedar Park,Texas,786,50,1
413,Tulsa,Oklahoma,741,20,1
414,Manistique,Michigan,498,64.06,1
415,Conshohocken,Pennsylvania,194,35,1
416,Charlotte,North Carolina,282,300,1
417,San Antonio,Texas,782,50,1
418,Hempstead,New York,115,25,1
419,,Minnesota,,89.45,1
420,Huntington Park,California,902,10,1
421,Wheeling,Illinois,600,219.78,1
422,Bellevue,Washington,980,25,1
423,,other,,25,1
424,Charleston,South Carolina,294,20,1
425,Southgate,Michigan,481,1125.99,1
426,Minneapolis,Minnesota,554,500,1
427,Aurora,Colorado,800,25,1
428,Round Rock,Texas,786,50,1
429,Webster,New York,145,50,1
430,Clermont,Florida,347,25,1
431,Pearland,Texas,775,10,1
432,Austin,Texas,787,4.17,1
433,Bronx,New York,104,50,1
434,Milwaukee,Wisconsin,532,25,1
435,North Brookfield,Massachusetts,15,5,1
436,Portland,Oregon,972,99,1
437,,other,,10,1
438,Brooklyn,New York,112,1.14,1
439,Los Alamos,New Mexico,875,25,1
440,,Nevada,891,25,1
441,Branson,Missouri,656,20,1
442,Burtonsville,Maryland,208,10,1
443,Waltham,Massachusetts,24,20,1
444,Los Angeles,California,900,15,1
445,Chatham,New Jersey,79,25,1
446,Celina,Texas,750,5,1
447,East Northport,New York,117,7.5,1
448,Charlotte,North Carolina,282,55,1
449,,Washington,,25,1
450,Houston,Texas,770,10,1
451,Arcata,California,955,3,1
452,Cypress,California,906,50,1
453,Lake Worth,Florida,334,50,1
454,Philadelphia,Pennsylvania,191,50,1
455,Phoenix,Arizona,850,10,1
456,Daly City,California,940,100,1
457,Tahlequah,Oklahoma,744,15,1
458,Rochester,New York,146,50,1
459,Walnut Creek,California,945,47.62,1
460,Chesapeake,Virginia,233,25,1
461,Troy,Ohio,453,20,1
462,Taylorsville,Kentucky,400,100,1
463,White Hall,Maryland,211,20,1
464,Brooklyn,New York,112,100.2,1
465,Morton,Illinois,615,50,1
466,Savannah,Georgia,314,50,1
467,Arlington,Virginia,222,337.6,1
468,Reno,Nevada,895,25,1
469,,other,,50,1
470,South Burlington,Vermont,54,50,1
471,Boynton Beach,Florida,334,100,1
472,Corvallis,Oregon,973,86.61,1
473,Fort Worth,Texas,761,100,1
474,Billings,Montana,591,10,1
475,Magalia,California,959,25,1
476,Yulee,Florida,320,10,1
477,Salt Lake City,Utah,841,50,1
478,New York,New York,100,10,1
479,Chicago,Illinois,606,10,1
480,Alameda,California,945,100,1
481,,other,,58.65,1
482,Barrington,Illinois,600,100,1
483,Westport,Massachusetts,27,66.36,1
484,Stockbridge,Georgia,302,25,1
485,Peoria,Arizona,853,4,1
486,Manchester,Connecticut,60,10,1
487,Rancho Cucamonga,California,917,10,1
488,New York,New York,100,25,1
489,La Grange,Texas,789,25,1
490,Winnetka,Illinois,600,10,1
491,Muncie,other,473,15,1
492,Brooklyn,New York,112,25,1
493,,other,,25,1
494,Columbia,South Carolina,292,75,1
495,Glen Rose,Texas,760,25,1
496,Burleson,Texas,760,10,1
25886,New Britain,Connecticut,60,50,1
25887,Brockton,Massachusetts,23,50,1
25888,Bloomington,Illinois,617,25,1
25889,Keller,Texas,762,100,1
25890,Portland,Oregon,972,25,1
25891,Humble,Texas,773,10,1
25892,Seymour,Indiana,472,11.26,1
25893,Bristol,South Dakota,572,10,1
25894,Mesa,Arizona,852,10,1
25895,Anniston,Alabama,362,10,1
25896,Columbus,Ohio,432,5,1
25897,Ruston,Louisiana,712,25,1
25898,Astoria,New York,111,10,1
25899,Seattle,Washington,981,10,1
25900,Sandy,Texas,786,1.6,1
25901,Chicago,Illinois,606,10,1
25902,,California,,10,1
25903,Remington,Virginia,227,100,1
25904,Aiken,South Carolina,298,25,1
25905,Chandler,Arizona,852,10,1
25906,Eaton Rapids,Michigan,488,10,1
25907,Colorado Springs,Colorado,809,7.15,1
25908,Sandy,Utah,840,25,1
25909,,North Carolina,,10,1
25910,Carson,California,907,25,1
25911,Greenwood,Indiana,461,50,1
25912,Renton,Washington,980,100,1
25913,Jersey City,New Jersey,73,10,1
25914,Sun City,California,925,25,1
25915,Smithfield,North Carolina,275,50,1
25916,Lockhart,Texas,786,171.65,1
25917,Wilmington,Delaware,198,50,1
25918,Fort Wayne,Indiana,468,100,1
25919,Xenia,Ohio,453,20,1
25920,Nashville,Tennessee,372,50,1
25921,Corona,California,928,15,1
25922,Mount Pleasant,South Carolina,294,59.97,1
25923,Roy,Utah,840,29.99,1
25924,Portland,Oregon,972,25,1
25925,Brockton,Massachusetts,23,100,1
25926,New York,New York,100,50,1
25927,Wilmington,North Carolina,284,33.76,1
25928,South Plainfield,New Jersey,70,20,1
25929,Breckenridge,Texas,764,40,1
25930,Raleigh,North Carolina,276,1,1
25931,,New Mexico,,5,1
25932,Erie,Pennsylvania,165,1595.29,1
25933,Roanoke,Virginia,240,75,1
25934,San Mateo,California,944,58.99,1
25935,La Crescent,Minnesota,559,100,1
25936,Wilson,North Carolina,278,50,1
25937,Livermore,California,945,50,1
25938,Huntington Beach,California,926,100,1
25939,Morgan Hill,California,950,25,1
25940,Chesapeake,Virginia,233,5,1
25941,,Maine,,38,1
25942,Beaverton,Oregon,970,1,1
25943,,other,,40.58,1
25944,Oakland Gardens,New York,113,50,1
25945,,other,,1,1
25946,Kaysville,Utah,840,50,1
25947,Claremore,Oklahoma,740,50,1
25948,,Arizona,,10,1
25949,,Florida,334,25.74,1
25950,Prescott Valley,Arizona,863,12.17,1
25951,Columbia,South Carolina,292,15,1
25952,Novato,California,949,10,1
25953,,other,,1,1
25954,Astoria,New York,111,3,1
25955,Dallas,Texas,752,1,1
25956,Livermore,California,945,1,1
25957,Harrisonburg,Virginia,228,1,1
25958,Blackshear,Georgia,315,1,1
25959,Cincinnati,Ohio,452,1,1
25960,,California,920,50,1
25961,Taylor,Texas,765,1,1
25962,Winchester,Kentucky,403,1,1
25963,Falls Church,Virginia,220,1,1
25964,China Grove,North Carolina,280,16,1
25965,Yonkers,New York,107,1,1
25966,Bremerton,Washington,983,2,1
25967,Cary,Illinois,600,1,1
25968,North Hollywood,California,916,3,1
25969,,Utah,840,1,1
25970,,other,,4,1
25971,Saint Peters,Missouri,633,1,1
25972,Chicago,Illinois,606,2,1
25973,Berkeley,California,947,1,1
25974,Houston,Texas,770,1,1
25975,Sebastian,Florida,329,1,1
25976,North Ridgeville,Ohio,440,22.72,1
25977,Franklin,Massachusetts,20,5,1
25978,Humble,Texas,773,9,1
25979,,other,,1,1
25980,Janesville,Wisconsin,535,2,1
25981,Bountiful,Utah,840,5,1
25982,Atlanta,Georgia,303,2,1
25983,Cedarburg,Wisconsin,530,2,1
25984,Bronx,New York,104,1,1
25985,,North Carolina,275,1,1
25986,,North Carolina,,1,1
25987,Montrose,California,910,1,1
25988,Atlanta,Georgia,303,1,1
25989,Wyckoff,New Jersey,74,1,1
25990,Memphis,Tennessee,381,1,1
25991,Henderson,Kentucky,424,10,1
25992,La Verne,California,917,5,1
25993,Saint George,Utah,847,4,1
25994,Lynnwood,Washington,980,2,1
25995,Shawnee Mission,Kansas,662,2,1
25996,Newark,New Jersey,71,1,1
25997,Waxahachie,Texas,751,2,1
25998,Chicago,Illinois,606,1,1
25999,,other,,1,1
26000,Richmond,Texas,774,1,1
26001,Beallsville,Ohio,437,5,1
26002,Nashua,New Hampshire,30,1,1
26003,Saint Louis,Missouri,631,5,1
26004,Rockford,Illinois,611,5,1
26005,Durham,North Carolina,277,2,1
26006,Troy,Michigan,480,2,1
26007,West Newton,Massachusetts,24,5,1
26008,Glen Carbon,Illinois,620,1,1
26009,Clovis,California,936,2,1
26010,Illinois City,Illinois,612,2,1
26011,Easton,Maryland,216,1,1
26012,Jacksonville,Florida,322,1,1
26013,Bear,Delaware,197,1,1
26014,Sun City,California,925,15,1
26015,Geneva,New York,144,2,1
26016,Silver Spring,Maryland,209,1,1
26017,Saint Paul,Minnesota,551,48,1
26018,,other,,1,1
26019,Orange,California,928,1,1
26020,East Elmhurst,New York,113,1,1
26021,Wilmer,Alabama,365,5,1
26022,Asbury Park,New Jersey,77,2,1
26023,,Florida,346,1,1
26024,Camden,North Carolina,279,10,1
26025,Kansas City,Missouri,641,1,1
26026,Fort Collins,Colorado,805,1,1
26027,Niles,Illinois,607,1,1
26028,Nashville,Tennessee,372,1,1
26029,Columbus,Ohio,432,1,1
26030,Miami,Oklahoma,743,1,1
26031,Centre,Alabama,359,1,1
26032,Brunswick,Ohio,442,1,1
26033,Trenton,New Jersey,86,1,1
26034,Tulsa,Oklahoma,741,1,1
26035,Federal Way,Washington,980,2,1
26036,Freedom,Pennsylvania,150,1,1
26037,Tuckerton,New Jersey,80,1,1
26038,Fowler,Indiana,479,1,1
26039,Columbus,Ohio,432,1,1
26040,Carmel,Indiana,460,5,1
26041,Jeffersonville,Indiana,471,1,1
26042,Brooklyn,New York,112,1,1
26043,Oaklyn,New Jersey,81,3,1
26044,El Cerrito,California,945,4,1
26045,Old Lyme,Connecticut,63,3,1
26046,Morganton,North Carolina,286,1,1
26047,Waxahachie,Texas,751,1,1
26048,Bakersfield,California,933,1,1
26049,Lindstrom,Minnesota,550,29,1
26050,Tucson,Arizona,857,4,1
26051,Ellicott City,Maryland,210,1,0
26052,Depew,New York,140,5,0
26053,San Diego,California,921,5,0
26054,Elmwood Park,Illinois,607,1,0
26055,Tucson,Arizona,857,1,0
26056,Highland Park,New Jersey,89,1,0
26057,,other,,1,0
26058,Saint Cloud,Minnesota,563,1,0
26059,Boise,Idaho,837,1,0
26060,Haughton,Louisiana,710,1,0
26061,Perris,California,925,2,0
26062,Davenport,Iowa,528,1,0
26063,Santa Rosa,California,954,1,0
26064,State Line,Mississippi,393,2,0
26065,Mason,Michigan,488,1,0
26066,Antioch,California,945,1,0
26067,,Florida,334,1,0
26068,Raleigh,North Carolina,276,25,0
26069,,California,,200,0
26070,Klamath Falls,Oregon,976,10,0
26071,Dawsonville,Georgia,305,5,0
26072,San Diego,California,921,200,0
26073,Pleasanton,California,945,25,0
26074,Renton,Washington,980,89.59,0
26075,Le Roy,New York,144,46.46,0
26076,Baltimore,Maryland,212,473,0
26077,Salem,New Hampshire,30,435.92,0
26078,Blackfoot,Idaho,832,25,0
26079,Honolulu,Hawaii,968,10,0
26080,Flagstaff,Arizona,860,2670.59,0
26081,Philadelphia,Pennsylvania,191,25,0
26082,Framingham,Massachusetts,17,99,0
26083,Fort Mill,South Carolina,297,10,0
26084,Spring,Texas,773,50,0
26085,Danville,California,945,25,0
26086,Carlsbad,California,920,25,0
26087,Anchorage,Alaska,995,50,0
26088,Fair Oaks,California,956,10,0
26089,Kansas City,Missouri,641,100,0
26090,,Pennsylvania,,100,0
26091,Shawnee Mission,Kansas,662,50,0
26092,,Pennsylvania,,25,0
26093,Summerville,South Carolina,294,250,0
26094,Marble Rock,Iowa,506,25,0
26095,Chalmette,Louisiana,700,50,0
26096,Livingston,Louisiana,707,66.29,0
26097,Saint Paul,Minnesota,551,25,0
26098,Shafter,California,932,25,0
26099,Greenbelt,Maryland,207,88.79,0
26100,Miami,Florida,331,25,0
26101,West Jordan,Utah,840,424.97,0
26102,Stamford,Connecticut,69,175,0
26103,Dallas,Texas,752,25,0
26104,Cookeville,Tennessee,385,50,0
26105,Malden,Massachusetts,21,10,0
26106,Westwood,New Jersey,76,5,0
26107,Newburgh,New York,125,10,0
26108,Decatur,Georgia,300,15,0
26109,Tualatin,Oregon,970,10,0
26110,Tomball,Texas,773,200,0
26111,Astoria,New York,111,25,0
26112,Idyllwild,California,925,25,0
26113,Hopewell,Ohio,437,5,0
26114,Schaumburg,Illinois,601,25,0
26115,Marion,South Carolina,295,5,0
26116,Owens Cross Roads,Alabama,357,25,0
26117,,North Carolina,,20,0
26118,Bedford,Indiana,474,50,0
26119,South Hadley,Massachusetts,10,20,0
26120,Clinton Township,Michigan,480,20,0
26121,,other,,23.7,0
26122,Brookline,Massachusetts,24,25,0
26123,Madras,Oregon,977,5,0
26124,Washington,District of Columbia,200,100,0
26125,Avon,Connecticut,60,50,0
26126,Brooklyn,New York,112,10,0
26127,Milwaukee,Wisconsin,532,10,0
26128,Torrance,California,905,100,0
26129,Fort Myers,Florida,339,20,0
26130,Deerfield Beach,Florida,334,50,0
26131,San Pedro,California,907,50,0
26132,Smyrna,Georgia,300,25,0
26133,Lakeland,Florida,338,5,0
26134,,Arizona,852,25,0
26135,Orlando,Florida,328,124.26,0
26136,Visalia,California,932,10,0
26137,New River,Arizona,852,10,0
26138,Elk Grove,California,957,50,0
26139,Oakland,California,946,75,0
26140,Las Vegas,Nevada,891,100,0
26141,San Jose,California,951,50,0
26142,San Jose,California,951,10,0
26143,Michigantown,Indiana,460,5,0
26144,Braintree,Massachusetts,21,1,0
26145,Trinity,Texas,758,10,0
26146,Cedar Hill,Texas,751,10,0
26147,Prairieville,Louisiana,707,25,0
26148,La Grange Park,Illinois,605,5,0
26149,Los Angeles,California,900,10,0
26150,Cincinnati,Ohio,452,104.24,0
26151,Houston,Kentucky,770,100,0
26152,Billerica,Massachusetts,18,85.16,0
26153,Spring,Texas,773,100,0
26154,Granada Hills,California,913,26,0
26155,Brooklyn,New York,112,50,0
26156,Saint Clair Shores,Michigan,480,10,0
26157,Katy,Texas,774,42.89,0
26158,Minneapolis,Minnesota,554,25,0
26159,North Palm Beach,Florida,334,1,0
26160,Alpharetta,Georgia,300,50,0
26161,Sayville,New York,117,10,0
26162,Pleasantville,New York,105,50,0
26163,Cripple Creek,Colorado,808,10,0
26164,Astoria,New York,111,10,0
26165,Oceanside,California,920,10,0
26166,Babylon,New York,117,2,0
26167,Dallas,Texas,752,20,0
26168,Arlington,Virginia,222,15.87,0
26169,Frisco,Texas,750,1,0
26170,Wheatland,Indiana,475,293,0
26171,De Queen,Arkansas,718,5,0
26172,Lansdale,Pennsylvania,194,5,0
26173,Palos Hills,Illinois,604,1,0
26174,,Montana,,10,0
26175,Fredericksburg,Virginia,224,15,0
26176,New York,New York,100,1,0
26177,Corona,California,928,10,0
26178,Rego Park,New York,113,1.44,0
26179,,Nevada,894,1,0
26180,Agoura Hills,California,913,10,0
26181,Glendale,California,912,1.5,0
26182,,other,,1,0
26183,Mount Pleasant,South Carolina,294,25,0
26184,Chandler,Arizona,852,5,0
26185,Knoxville,Tennessee,379,1,0
26186,Dallas,Texas,752,1,0
26187,Chattanooga,Tennessee,374,1,0
26188,,Florida,,1,0
26189,Astoria,New York,111,1,0
26190,Papillion,Nebraska,680,1,0
26191,Pittsburg,California,945,2,0
26192,,other,,42.78,0
26193,San Leandro,California,945,25,0
26194,Chicago,Illinois,606,50,0
26195,,California,,50,0
26196,Palm Springs,California,922,25,0
26197,Centreville,Virginia,201,50,0
26198,Chatham,Massachusetts,26,65.76,0
26199,North East,Maryland,219,25,0
26200,McKinney,Texas,750,50,0
26201,Los Angeles,California,900,25,0
26202,Austin,Texas,787,40.01,0
26203,Trevor,Wisconsin,531,50,0
26204,Keithville,Louisiana,710,25,0
26205,Splendora,Texas,773,50,0
26206,Shelbyville,Indiana,461,50,0
26207,Cleveland,Ohio,441,25,0
26208,Brenham,Texas,778,25,0
26209,Philadelphia,Pennsylvania,191,10,0
26210,,Pennsylvania,,20,0
26211,Melbourne,Florida,329,944.33,0
26212,,New Jersey,,25,0
26213,Shawnee Mission,Kansas,662,20,0
26214,Pittsburgh,Pennsylvania,152,136.55,0
26215,Birmingham,Alabama,352,25,0
26216,Oakley,California,945,50,0
26217,Los Angeles,California,900,15,0
26218,Spring,other,773,10,0
26219,Etters,Pennsylvania,173,99,0
26220,Reading,Massachusetts,18,125,0
26221,Whiting,Indiana,463,170,0
26222,Saint Martinville,Louisiana,705,20,0
26223,Salt Lake City,Utah,841,25,0
26224,East Bridgewater,Massachusetts,23,15,0
26225,Philadelphia,Pennsylvania,191,50,0
26226,Canton,Michigan,481,20,0
26227,Excelsior,Minnesota,553,50,0
26228,Brick,New Jersey,87,150,0
26229,Whitmore Lake,Michigan,481,50,0
26230,Hazelwood,Missouri,630,50,0
26231,Tempe,Arizona,852,22.72,0
26232,Sunnyvale,California,940,50,0
26233,,other,,5,0
26234,Carrollton,Texas,750,1,0
26235,South Bend,Indiana,466,5,0
26236,Murfreesboro,Tennessee,371,5,0
26237,Winchester,Virginia,226,8.54,0
26238,Mcalester,Oklahoma,745,20,0
26239,Pompano Beach,Florida,330,5,0
26240,Saint Marys,Georgia,315,10,0
26241,Staten Island,New York,103,10,0
26242,Osseo,Minnesota,553,125,0
26243,Westfield,New Jersey,70,10,0
26244,Port Orchard,Washington,983,32.47,0
26245,Flint,Michigan,485,20,0
26246,,other,,25,0
26247,Chicago,Illinois,606,100,0
26248,Denham Springs,Louisiana,707,50,0
26249,Omaha,Nebraska,681,93.2,0
26250,Ronkonkoma,New York,117,25,0
26251,Clayton,Ohio,453,50,0
26252,,other,,135,0
26253,Skaneateles,New York,131,50,0
26254,Lewisburg,Florida,370,50,0
26255,Fruita,Colorado,815,50,0
26256,,Nebraska,,25,0
26257,Berkley,Michigan,480,25,0
26258,Los Angeles,California,900,20,0
26259,King City,California,939,25,0
26260,Alabaster,Alabama,350,20,0
26261,Hamden,Connecticut,65,10,0
26262,Petal,Mississippi,394,39.78,0
26263,Talladega,Alabama,351,99,0
26264,Fullerton,California,928,1,0
26265,Mill Valley,California,949,50,0
26266,Delray Beach,Florida,334,10,0
26267,Gonzales,Louisiana,707,50,0
26268,Atlanta,Georgia,303,150,0
26269,Springfield,Illinois,627,181,0
26270,San Antonio,Texas,782,40,0
26271,Port Orange,Florida,321,168.32,0
26272,Oviedo,Florida,327,25,0
26273,Port Charlotte,Florida,339,50,0
26274,New York,New York,100,50,0
26275,San Dimas,California,917,200,0
26276,Warsaw,Missouri,653,130.78,0
26277,,other,,50,0
26278,Brighton,Massachusetts,21,10,0
26279,Cambridge,Massachusetts,21,50,0
26280,Ocean Shores,Washington,985,250,0
26281,Navasota,Texas,778,20,0
26282,Encino,California,913,50,0
26283,Belmont,Massachusetts,24,50,0
26284,Fort Morgan,Colorado,807,25,0
26285,Cumming,Georgia,300,10,0
26286,Ashland,Massachusetts,17,19.5,0
26287,Jonesboro,Georgia,302,100,0
26288,Harrison,Michigan,486,5,0
26289,,other,,50,0
26290,Ann Arbor,Michigan,481,342.48,0
26291,,other,,25,0
26292,Shreveport,Louisiana,711,10,0
26293,Stratford,Connecticut,66,100,0
26294,,other,,20,0
26295,Chicago,Illinois,606,20,0
26296,Leland,Michigan,496,10,0
26297,,other,,200,0
26298,Blacklick,Ohio,430,10,0
26299,Three Rivers,California,932,5,0
26300,,California,,35,0
26301,,other,,5,0
26302,Little Rock,Arkansas,722,5,0
26303,Yuba City,California,959,25,0
26304,Fort Lauderdale,Florida,333,20,1
26305,,other,,20,1
26306,,Louisiana,,10,1
26307,San Francisco,California,941,20,1
26308,Maineville,Ohio,450,100,1
26309,Ypsilanti,Michigan,481,15,1
26310,,Delaware,,113.26,1
26311,Whittier,California,906,75,1
26312,Indiana,Pennsylvania,157,129.26,1
26313,Santa Maria,California,934,25,1
26314,Bothell,Washington,980,1,1
26315,Cardiff By The Sea,California,920,1,1
26316,Taylor,Michigan,481,1,1
26317,Germantown,Maryland,208,5,1
26318,Oakland,California,946,70,1
26319,,other,,1,1
26320,Chesapeake,Virginia,233,5,1
26321,Lacona,Iowa,501,1,1
26322,Charlotte,North Carolina,282,1,1
26323,Mundelein,Illinois,600,37.11,1
26324,Altoona,Iowa,500,15,1
26325,La Crescenta,California,912,1,1
26326,Chicago,Illinois,606,20,1
26327,Jersey City,New Jersey,73,50,1
26328,,other,,60,1
26329,Livermore,California,945,20,1
26330,Glen Mills,Pennsylvania,193,50,1
26331,Columbus,Ohio,432,100,1
26332,Orlando,Florida,328,25,1
26333,Katy,Texas,774,154.01,1
26334,Hendersonville,Tennessee,370,50,1
26335,Dallas,Texas,752,479.93,1
26336,Lumberton,Texas,776,10,1
26337,Bensalem,Pennsylvania,190,93,1
26338,Woodside,New York,113,314.61,1
26339,Copperas Cove,Texas,765,50,1
26340,Fanwood,New Jersey,70,100,1
26341,Atlanta,Georgia,303,50,1
26342,Anaheim,California,928,25,1
26343,Mesa,Arizona,852,658.18,1
26344,Gibsonville,North Carolina,272,25,1
26345,Miami,other,331,25,1
