year,state,count_type,count
01/01/2018 12:00:00 PM,GA,Sheltered ES Homeless,3434
01/01/2018 12:00:00 PM,GU,Sheltered ES Homeless,124
01/01/2018 12:00:00 PM,HI,Sheltered ES Homeless,1528
01/01/2018 12:00:00 PM,IA,Sheltered ES Homeless,1481
01/01/2018 12:00:00 PM,ID,Sheltered ES Homeless,954
01/01/2018 12:00:00 PM,IL,Sheltered ES Homeless,6247
01/01/2018 12:00:00 PM,IN,Sheltered ES Homeless,3370
01/01/2018 12:00:00 PM,KS,Sheltered ES Homeless,1300
01/01/2018 12:00:00 PM,KY,Sheltered ES Homeless,2340
01/01/2018 12:00:00 PM,LA,Sheltered ES Homeless,1163
01/01/2018 12:00:00 PM,MA,Sheltered ES Homeless,16855
01/01/2018 12:00:00 PM,MD,Sheltered ES Homeless,3603
01/01/2018 12:00:00 PM,ME,Sheltered ES Homeless,1012
01/01/2018 12:00:00 PM,MI,Sheltered ES Homeless,5499
01/01/2018 12:00:00 PM,MN,Sheltered ES Homeless,3855
01/01/2018 12:00:00 PM,MO,Sheltered ES Homeless,3262
01/01/2018 12:00:00 PM,MP,Sheltered ES Homeless,22
01/01/2018 12:00:00 PM,MS,Sheltered ES Homeless,404
01/01/2018 12:00:00 PM,MT,Sheltered ES Homeless,793
01/01/2018 12:00:00 PM,NC,Sheltered ES Homeless,5289
01/01/2018 12:00:00 PM,ND,Sheltered ES Homeless,339
01/01/2018 12:00:00 PM,NE,Sheltered ES Homeless,1736
01/01/2018 12:00:00 PM,NH,Sheltered ES Homeless,812
01/01/2018 12:00:00 PM,NJ,Sheltered ES Homeless,5805
01/01/2018 12:00:00 PM,NM,Sheltered ES Homeless,1368
01/01/2018 12:00:00 PM,NV,Sheltered ES Homeless,2183
01/01/2018 12:00:00 PM,NY,Sheltered ES Homeless,82370
01/01/2018 12:00:00 PM,OH,Sheltered ES Homeless,7234
01/01/2018 12:00:00 PM,OK,Sheltered ES Homeless,2077
01/01/2018 12:00:00 PM,OR,Sheltered ES Homeless,3757
01/01/2018 12:00:00 PM,PA,Sheltered ES Homeless,7863
01/01/2018 12:00:00 PM,PR,Sheltered ES Homeless,342
01/01/2018 12:00:00 PM,RI,Sheltered ES Homeless,739
01/01/2018 12:00:00 PM,SC,Sheltered ES Homeless,1997
01/01/2018 12:00:00 PM,SD,Sheltered ES Homeless,707
01/01/2018 12:00:00 PM,TN,Sheltered ES Homeless,3547
01/01/2018 12:00:00 PM,TX,Sheltered ES Homeless,11307
01/01/2018 12:00:00 PM,UT,Sheltered ES Homeless,1946
01/01/2018 12:00:00 PM,VA,Sheltered ES Homeless,4232
01/01/2018 12:00:00 PM,VI,Sheltered ES Homeless,137
01/01/2018 12:00:00 PM,VT,Sheltered ES Homeless,1029
01/01/2018 12:00:00 PM,WA,Sheltered ES Homeless,7652
01/01/2018 12:00:00 PM,WI,Sheltered ES Homeless,3139
01/01/2018 12:00:00 PM,WV,Sheltered ES Homeless,870
01/01/2018 12:00:00 PM,WY,Sheltered ES Homeless,269
01/01/2018 12:00:00 PM,Total,Sheltered ES Homeless,275705
01/01/2018 12:00:00 PM,AK,Sheltered TH Homeless,459
01/01/2018 12:00:00 PM,AL,Sheltered TH Homeless,865
01/01/2018 12:00:00 PM,AR,Sheltered TH Homeless,516
01/01/2018 12:00:00 PM,AZ,Sheltered TH Homeless,2144
01/01/2018 12:00:00 PM,CA,Sheltered TH Homeless,12737
01/01/2018 12:00:00 PM,CO,Sheltered TH Homeless,2348
01/01/2018 12:00:00 PM,CT,Sheltered TH Homeless,516
01/01/2018 12:00:00 PM,DC,Sheltered TH Homeless,1209
01/01/2018 12:00:00 PM,DE,Sheltered TH Homeless,282
01/01/2018 12:00:00 PM,FL,Sheltered TH Homeless,5419
01/01/2018 12:00:00 PM,GA,Sheltered TH Homeless,2466
01/01/2018 12:00:00 PM,GU,Sheltered TH Homeless,3
01/01/2018 12:00:00 PM,HI,Sheltered TH Homeless,1527
01/01/2018 12:00:00 PM,IA,Sheltered TH Homeless,1004
01/01/2018 12:00:00 PM,ID,Sheltered TH Homeless,335
01/01/2018 12:00:00 PM,IL,Sheltered TH Homeless,2381
01/01/2018 12:00:00 PM,IN,Sheltered TH Homeless,1218
01/01/2018 12:00:00 PM,KS,Sheltered TH Homeless,555
01/01/2018 12:00:00 PM,KY,Sheltered TH Homeless,480
01/01/2018 12:00:00 PM,LA,Sheltered TH Homeless,795
01/01/2018 12:00:00 PM,MA,Sheltered TH Homeless,2148
01/01/2018 12:00:00 PM,MD,Sheltered TH Homeless,1700
01/01/2018 12:00:00 PM,ME,Sheltered TH Homeless,1391
01/01/2018 12:00:00 PM,MI,Sheltered TH Homeless,1881
01/01/2018 12:00:00 PM,MN,Sheltered TH Homeless,2251
01/01/2018 12:00:00 PM,MO,Sheltered TH Homeless,1369
01/01/2018 12:00:00 PM,MP,Sheltered TH Homeless,0
01/01/2018 12:00:00 PM,MS,Sheltered TH Homeless,327
01/01/2018 12:00:00 PM,MT,Sheltered TH Homeless,239
01/01/2018 12:00:00 PM,NC,Sheltered TH Homeless,1529
01/01/2018 12:00:00 PM,ND,Sheltered TH Homeless,155
01/01/2018 12:00:00 PM,NE,Sheltered TH Homeless,541
01/01/2018 12:00:00 PM,NH,Sheltered TH Homeless,476
01/01/2018 12:00:00 PM,NJ,Sheltered TH Homeless,1951
01/01/2018 12:00:00 PM,NM,Sheltered TH Homeless,387
01/01/2018 12:00:00 PM,NV,Sheltered TH Homeless,921
01/01/2018 12:00:00 PM,NY,Sheltered TH Homeless,5137
01/01/2018 12:00:00 PM,OH,Sheltered TH Homeless,1608
01/01/2018 12:00:00 PM,OK,Sheltered TH Homeless,586
01/01/2018 12:00:00 PM,OR,Sheltered TH Homeless,1786
01/01/2018 12:00:00 PM,PA,Sheltered TH Homeless,3625
01/01/2018 12:00:00 PM,PR,Sheltered TH Homeless,312
01/01/2018 12:00:00 PM,RI,Sheltered TH Homeless,311
01/01/2018 12:00:00 PM,SC,Sheltered TH Homeless,577
01/01/2018 12:00:00 PM,SD,Sheltered TH Homeless,167
01/01/2018 12:00:00 PM,TN,Sheltered TH Homeless,1470
01/01/2018 12:00:00 PM,TX,Sheltered TH Homeless,3405
01/01/2018 12:00:00 PM,UT,Sheltered TH Homeless,510
01/01/2018 12:00:00 PM,VA,Sheltered TH Homeless,810
01/01/2018 12:00:00 PM,VI,Sheltered TH Homeless,42
01/01/2018 12:00:00 PM,VT,Sheltered TH Homeless,180
01/01/2018 12:00:00 PM,WA,Sheltered TH Homeless,3990
01/01/2018 12:00:00 PM,WI,Sheltered TH Homeless,1319
01/01/2018 12:00:00 PM,WV,Sheltered TH Homeless,180
01/01/2018 12:00:00 PM,WY,Sheltered TH Homeless,171
01/01/2018 12:00:00 PM,Total,Sheltered TH Homeless,80711
01/01/2018 12:00:00 PM,AK,Sheltered SH Homeless,0
01/01/2018 12:00:00 PM,AL,Sheltered SH Homeless,40
01/01/2018 12:00:00 PM,AR,Sheltered SH Homeless,6
01/01/2018 12:00:00 PM,AZ,Sheltered SH Homeless,40
01/01/2018 12:00:00 PM,CA,Sheltered SH Homeless,217
01/01/2018 12:00:00 PM,CO,Sheltered SH Homeless,22
01/01/2018 12:00:00 PM,CT,Sheltered SH Homeless,0
01/01/2018 12:00:00 PM,DC,Sheltered SH Homeless,0
01/01/2018 12:00:00 PM,DE,Sheltered SH Homeless,5
01/01/2018 12:00:00 PM,FL,Sheltered SH Homeless,129
01/01/2018 12:00:00 PM,GA,Sheltered SH Homeless,0
01/01/2018 12:00:00 PM,GU,Sheltered SH Homeless,0
01/01/2018 12:00:00 PM,HI,Sheltered SH Homeless,0
01/01/2018 12:00:00 PM,IA,Sheltered SH Homeless,23
01/01/2018 12:00:00 PM,ID,Sheltered SH Homeless,0
01/01/2018 12:00:00 PM,IL,Sheltered SH Homeless,73
01/01/2018 12:00:00 PM,IN,Sheltered SH Homeless,91
01/01/2018 12:00:00 PM,KS,Sheltered SH Homeless,4
01/01/2018 12:00:00 PM,KY,Sheltered SH Homeless,0
01/01/2018 12:00:00 PM,LA,Sheltered SH Homeless,36
01/01/2018 12:00:00 PM,MA,Sheltered SH Homeless,80
01/01/2018 12:00:00 PM,MD,Sheltered SH Homeless,77
01/01/2018 12:00:00 PM,ME,Sheltered SH Homeless,15
01/01/2018 12:00:00 PM,MI,Sheltered SH Homeless,72
01/01/2018 12:00:00 PM,MN,Sheltered SH Homeless,16
01/01/2018 12:00:00 PM,MO,Sheltered SH Homeless,38
01/01/2018 12:00:00 PM,MP,Sheltered SH Homeless,0
01/01/2018 12:00:00 PM,MS,Sheltered SH Homeless,0
01/01/2018 12:00:00 PM,MT,Sheltered SH Homeless,0
01/01/2018 12:00:00 PM,NC,Sheltered SH Homeless,0
01/01/2018 12:00:00 PM,ND,Sheltered SH Homeless,0
01/01/2018 12:00:00 PM,NE,Sheltered SH Homeless,0
01/01/2018 12:00:00 PM,NH,Sheltered SH Homeless,8
01/01/2018 12:00:00 PM,NJ,Sheltered SH Homeless,19
01/01/2018 12:00:00 PM,NM,Sheltered SH Homeless,0
01/01/2018 12:00:00 PM,NV,Sheltered SH Homeless,201
01/01/2018 12:00:00 PM,NY,Sheltered SH Homeless,96
01/01/2018 12:00:00 PM,OH,Sheltered SH Homeless,92
01/01/2018 12:00:00 PM,OK,Sheltered SH Homeless,17
01/01/2018 12:00:00 PM,OR,Sheltered SH Homeless,8
01/01/2018 12:00:00 PM,PA,Sheltered SH Homeless,280
01/01/2018 12:00:00 PM,PR,Sheltered SH Homeless,16
01/01/2018 12:00:00 PM,RI,Sheltered SH Homeless,0
01/01/2018 12:00:00 PM,SC,Sheltered SH Homeless,15
01/01/2018 12:00:00 PM,SD,Sheltered SH Homeless,0
01/01/2018 12:00:00 PM,TN,Sheltered SH Homeless,11
01/01/2018 12:00:00 PM,TX,Sheltered SH Homeless,64
01/01/2018 12:00:00 PM,UT,Sheltered SH Homeless,0
01/01/2018 12:00:00 PM,VA,Sheltered SH Homeless,18
01/01/2018 12:00:00 PM,VI,Sheltered SH Homeless,0
01/01/2018 12:00:00 PM,VT,Sheltered SH Homeless,0
01/01/2018 12:00:00 PM,WA,Sheltered SH Homeless,41
01/01/2018 12:00:00 PM,WI,Sheltered SH Homeless,67
01/01/2018 12:00:00 PM,WV,Sheltered SH Homeless,10
01/01/2018 12:00:00 PM,WY,Sheltered SH Homeless,0
01/01/2018 12:00:00 PM,Total,Sheltered SH Homeless,1947
01/01/2018 12:00:00 PM,AK,Sheltered Total Homeless,1707
01/01/2018 12:00:00 PM,AL,Sheltered Total Homeless,2424
01/01/2018 12:00:00 PM,AR,Sheltered Total Homeless,1455
01/01/2018 12:00:00 PM,AZ,Sheltered Total Homeless,5799
01/01/2018 12:00:00 PM,CA,Sheltered Total Homeless,40429
01/01/2018 12:00:00 PM,CO,Sheltered Total Homeless,6528
01/01/2018 12:00:00 PM,CT,Sheltered Total Homeless,3395
01/01/2018 12:00:00 PM,DC,Sheltered Total Homeless,6304
01/01/2018 12:00:00 PM,DE,Sheltered Total Homeless,989
01/01/2018 12:00:00 PM,FL,Sheltered Total Homeless,17637
01/01/2018 12:00:00 PM,GA,Sheltered Total Homeless,5900
01/01/2018 12:00:00 PM,GU,Sheltered Total Homeless,127
01/01/2018 12:00:00 PM,HI,Sheltered Total Homeless,3055
01/01/2018 12:00:00 PM,IA,Sheltered Total Homeless,2508
01/01/2018 12:00:00 PM,ID,Sheltered Total Homeless,1289
01/01/2018 12:00:00 PM,IL,Sheltered Total Homeless,8701
01/01/2018 12:00:00 PM,IN,Sheltered Total Homeless,4679
01/01/2018 12:00:00 PM,KS,Sheltered Total Homeless,1859
01/01/2018 12:00:00 PM,KY,Sheltered Total Homeless,2820
01/01/2018 12:00:00 PM,LA,Sheltered Total Homeless,1994
01/01/2018 12:00:00 PM,MA,Sheltered Total Homeless,19083
01/01/2018 12:00:00 PM,MD,Sheltered Total Homeless,5380
01/01/2018 12:00:00 PM,ME,Sheltered Total Homeless,2418
01/01/2018 12:00:00 PM,MI,Sheltered Total Homeless,7452
01/01/2018 12:00:00 PM,MN,Sheltered Total Homeless,6122
01/01/2018 12:00:00 PM,MO,Sheltered Total Homeless,4669
01/01/2018 12:00:00 PM,MP,Sheltered Total Homeless,22
01/01/2018 12:00:00 PM,MS,Sheltered Total Homeless,731
01/01/2018 12:00:00 PM,MT,Sheltered Total Homeless,1032
01/01/2018 12:00:00 PM,NC,Sheltered Total Homeless,6818
01/01/2018 12:00:00 PM,ND,Sheltered Total Homeless,494
01/01/2018 12:00:00 PM,NE,Sheltered Total Homeless,2277
01/01/2018 12:00:00 PM,NH,Sheltered Total Homeless,1296
01/01/2018 12:00:00 PM,NJ,Sheltered Total Homeless,7775
01/01/2018 12:00:00 PM,NM,Sheltered Total Homeless,1755
01/01/2018 12:00:00 PM,NV,Sheltered Total Homeless,3305
01/01/2018 12:00:00 PM,NY,Sheltered Total Homeless,87603
01/01/2018 12:00:00 PM,OH,Sheltered Total Homeless,8934
01/01/2018 12:00:00 PM,OK,Sheltered Total Homeless,2680
01/01/2018 12:00:00 PM,OR,Sheltered Total Homeless,5551
01/01/2018 12:00:00 PM,PA,Sheltered Total Homeless,11768
01/01/2018 12:00:00 PM,PR,Sheltered Total Homeless,670
01/01/2018 12:00:00 PM,RI,Sheltered Total Homeless,1050
01/01/2018 12:00:00 PM,SC,Sheltered Total Homeless,2589
01/01/2018 12:00:00 PM,SD,Sheltered Total Homeless,874
01/01/2018 12:00:00 PM,TN,Sheltered Total Homeless,5028
01/01/2018 12:00:00 PM,TX,Sheltered Total Homeless,14776
01/01/2018 12:00:00 PM,UT,Sheltered Total Homeless,2456
01/01/2018 12:00:00 PM,VA,Sheltered Total Homeless,5060
01/01/2018 12:00:00 PM,VI,Sheltered Total Homeless,179
01/01/2018 12:00:00 PM,VT,Sheltered Total Homeless,1209
01/01/2018 12:00:00 PM,WA,Sheltered Total Homeless,11683
01/01/2018 12:00:00 PM,WI,Sheltered Total Homeless,4525
01/01/2018 12:00:00 PM,WV,Sheltered Total Homeless,1060
01/01/2018 12:00:00 PM,WY,Sheltered Total Homeless,440
01/01/2018 12:00:00 PM,Total,Sheltered Total Homeless,358363
01/01/2018 12:00:00 PM,AK,Unsheltered Homeless,309
01/01/2018 12:00:00 PM,AL,Unsheltered Homeless,1010
01/01/2018 12:00:00 PM,AR,Unsheltered Homeless,1257
01/01/2018 12:00:00 PM,AZ,Unsheltered Homeless,4066
01/01/2018 12:00:00 PM,CA,Unsheltered Homeless,89543
01/01/2018 12:00:00 PM,CO,Unsheltered Homeless,4329
01/01/2018 12:00:00 PM,CT,Unsheltered Homeless,581
01/01/2018 12:00:00 PM,DC,Unsheltered Homeless,600
01/01/2018 12:00:00 PM,DE,Unsheltered Homeless,93
01/01/2018 12:00:00 PM,FL,Unsheltered Homeless,13393
01/01/2018 12:00:00 PM,GA,Unsheltered Homeless,3599
01/01/2018 12:00:00 PM,GU,Unsheltered Homeless,727
01/01/2018 12:00:00 PM,HI,Unsheltered Homeless,3475
01/01/2018 12:00:00 PM,IA,Unsheltered Homeless,241
01/01/2018 12:00:00 PM,ID,Unsheltered Homeless,723
01/01/2018 12:00:00 PM,IL,Unsheltered Homeless,1942
01/01/2018 12:00:00 PM,IN,Unsheltered Homeless,579
01/01/2018 12:00:00 PM,KS,Unsheltered Homeless,357
01/01/2018 12:00:00 PM,KY,Unsheltered Homeless,868
01/01/2018 12:00:00 PM,LA,Unsheltered Homeless,1065
01/01/2018 12:00:00 PM,MA,Unsheltered Homeless,985
01/01/2018 12:00:00 PM,MD,Unsheltered Homeless,1764
01/01/2018 12:00:00 PM,ME,Unsheltered Homeless,98
01/01/2018 12:00:00 PM,MI,Unsheltered Homeless,899
01/01/2018 12:00:00 PM,MN,Unsheltered Homeless,1121
01/01/2018 12:00:00 PM,MO,Unsheltered Homeless,1214
01/01/2018 12:00:00 PM,MP,Unsheltered Homeless,1022
01/01/2018 12:00:00 PM,MS,Unsheltered Homeless,621
01/01/2018 12:00:00 PM,MT,Unsheltered Homeless,373
01/01/2018 12:00:00 PM,NC,Unsheltered Homeless,2450
01/01/2018 12:00:00 PM,ND,Unsheltered Homeless,48
01/01/2018 12:00:00 PM,NE,Unsheltered Homeless,144
01/01/2018 12:00:00 PM,NH,Unsheltered Homeless,154
01/01/2018 12:00:00 PM,NJ,Unsheltered Homeless,1623
01/01/2018 12:00:00 PM,NM,Unsheltered Homeless,796
01/01/2018 12:00:00 PM,NV,Unsheltered Homeless,4239
01/01/2018 12:00:00 PM,NY,Unsheltered Homeless,4294
01/01/2018 12:00:00 PM,OH,Unsheltered Homeless,1315
01/01/2018 12:00:00 PM,OK,Unsheltered Homeless,1191
01/01/2018 12:00:00 PM,OR,Unsheltered Homeless,8925
01/01/2018 12:00:00 PM,PA,Unsheltered Homeless,1744
01/01/2018 12:00:00 PM,PR,Unsheltered Homeless,2512
01/01/2018 12:00:00 PM,RI,Unsheltered Homeless,51
01/01/2018 12:00:00 PM,SC,Unsheltered Homeless,1344
01/01/2018 12:00:00 PM,SD,Unsheltered Homeless,285
01/01/2018 12:00:00 PM,TN,Unsheltered Homeless,2855
01/01/2018 12:00:00 PM,TX,Unsheltered Homeless,10534
01/01/2018 12:00:00 PM,UT,Unsheltered Homeless,420
01/01/2018 12:00:00 PM,VA,Unsheltered Homeless,915
01/01/2018 12:00:00 PM,VI,Unsheltered Homeless,307
01/01/2018 12:00:00 PM,VT,Unsheltered Homeless,82
01/01/2018 12:00:00 PM,WA,Unsheltered Homeless,10621
01/01/2018 12:00:00 PM,WI,Unsheltered Homeless,382
01/01/2018 12:00:00 PM,WV,Unsheltered Homeless,183
01/01/2018 12:00:00 PM,WY,Unsheltered Homeless,199
01/01/2018 12:00:00 PM,Total,Unsheltered Homeless,194467
01/01/2018 12:00:00 PM,AK,Homeless Individuals,1434
01/01/2018 12:00:00 PM,AL,Homeless Individuals,2570
01/01/2018 12:00:00 PM,AR,Homeless Individuals,2280
01/01/2018 12:00:00 PM,AZ,Homeless Individuals,7259
01/01/2018 12:00:00 PM,CA,Homeless Individuals,109008
01/01/2018 12:00:00 PM,CO,Homeless Individuals,7607
01/01/2018 12:00:00 PM,CT,Homeless Individuals,2280
01/01/2018 12:00:00 PM,DC,Homeless Individuals,3770
01/01/2018 12:00:00 PM,DE,Homeless Individuals,708
01/01/2018 12:00:00 PM,FL,Homeless Individuals,21443
01/01/2018 12:00:00 PM,GA,Homeless Individuals,6943
01/01/2018 12:00:00 PM,GU,Homeless Individuals,209
01/01/2018 12:00:00 PM,HI,Homeless Individuals,4131
01/01/2018 12:00:00 PM,IA,Homeless Individuals,1711
01/01/2018 12:00:00 PM,ID,Homeless Individuals,1297
01/01/2018 12:00:00 PM,IL,Homeless Individuals,6752
01/01/2018 12:00:00 PM,IN,Homeless Individuals,3776
01/01/2018 12:00:00 PM,KS,Homeless Individuals,1443
01/01/2018 12:00:00 PM,KY,Homeless Individuals,2735
01/01/2018 12:00:00 PM,LA,Homeless Individuals,2540
01/01/2018 12:00:00 PM,MA,Homeless Individuals,6811
01/01/2018 12:00:00 PM,MD,Homeless Individuals,4914
01/01/2018 12:00:00 PM,ME,Homeless Individuals,1450
01/01/2018 12:00:00 PM,MI,Homeless Individuals,5209
01/01/2018 12:00:00 PM,MN,Homeless Individuals,3993
01/01/2018 12:00:00 PM,MO,Homeless Individuals,3776
01/01/2018 12:00:00 PM,MP,Homeless Individuals,357
01/01/2018 12:00:00 PM,MS,Homeless Individuals,1024
01/01/2018 12:00:00 PM,MT,Homeless Individuals,983
01/01/2018 12:00:00 PM,NC,Homeless Individuals,6451
01/01/2018 12:00:00 PM,ND,Homeless Individuals,467
01/01/2018 12:00:00 PM,NE,Homeless Individuals,1745
01/01/2018 12:00:00 PM,NH,Homeless Individuals,835
01/01/2018 12:00:00 PM,NJ,Homeless Individuals,6048
01/01/2018 12:00:00 PM,NM,Homeless Individuals,1949
01/01/2018 12:00:00 PM,NV,Homeless Individuals,7058
01/01/2018 12:00:00 PM,NY,Homeless Individuals,39827
01/01/2018 12:00:00 PM,OH,Homeless Individuals,6929
01/01/2018 12:00:00 PM,OK,Homeless Individuals,2823
01/01/2018 12:00:00 PM,OR,Homeless Individuals,11139
01/01/2018 12:00:00 PM,PA,Homeless Individuals,8163
01/01/2018 12:00:00 PM,PR,Homeless Individuals,2921
01/01/2018 12:00:00 PM,RI,Homeless Individuals,747
01/01/2018 12:00:00 PM,SC,Homeless Individuals,3082
01/01/2018 12:00:00 PM,SD,Homeless Individuals,836
01/01/2018 12:00:00 PM,TN,Homeless Individuals,6139
01/01/2018 12:00:00 PM,TX,Homeless Individuals,19199
01/01/2018 12:00:00 PM,UT,Homeless Individuals,1904
01/01/2018 12:00:00 PM,VA,Homeless Individuals,3928
01/01/2018 12:00:00 PM,VI,Homeless Individuals,415
01/01/2018 12:00:00 PM,VT,Homeless Individuals,780
01/01/2018 12:00:00 PM,WA,Homeless Individuals,16424
01/01/2018 12:00:00 PM,WI,Homeless Individuals,2740
01/01/2018 12:00:00 PM,WV,Homeless Individuals,1021
01/01/2018 12:00:00 PM,WY,Homeless Individuals,434
01/01/2018 12:00:00 PM,Total,Homeless Individuals,372417
01/01/2018 12:00:00 PM,AK,Sheltered ES Homeless Individuals,953
01/01/2018 12:00:00 PM,AL,Sheltered ES Homeless Individuals,1057
01/01/2018 12:00:00 PM,AR,Sheltered ES Homeless Individuals,708
01/01/2018 12:00:00 PM,AZ,Sheltered ES Homeless Individuals,2327
01/01/2018 12:00:00 PM,CA,Sheltered ES Homeless Individuals,16507
01/01/2018 12:00:00 PM,CO,Sheltered ES Homeless Individuals,3317
01/01/2018 12:00:00 PM,CT,Sheltered ES Homeless Individuals,1451
01/01/2018 12:00:00 PM,DC,Sheltered ES Homeless Individuals,2472
01/01/2018 12:00:00 PM,DE,Sheltered ES Homeless Individuals,460
01/01/2018 12:00:00 PM,FL,Sheltered ES Homeless Individuals,7031
01/01/2018 12:00:00 PM,GA,Sheltered ES Homeless Individuals,2002
01/01/2018 12:00:00 PM,GU,Sheltered ES Homeless Individuals,19
01/01/2018 12:00:00 PM,HI,Sheltered ES Homeless Individuals,832
01/01/2018 12:00:00 PM,IA,Sheltered ES Homeless Individuals,1035
01/01/2018 12:00:00 PM,ID,Sheltered ES Homeless Individuals,647
01/01/2018 12:00:00 PM,IL,Sheltered ES Homeless Individuals,3746
01/01/2018 12:00:00 PM,IN,Sheltered ES Homeless Individuals,2376
01/01/2018 12:00:00 PM,KS,Sheltered ES Homeless Individuals,880
01/01/2018 12:00:00 PM,KY,Sheltered ES Homeless Individuals,1650
01/01/2018 12:00:00 PM,LA,Sheltered ES Homeless Individuals,839
01/01/2018 12:00:00 PM,MA,Sheltered ES Homeless Individuals,4394
01/01/2018 12:00:00 PM,MD,Sheltered ES Homeless Individuals,2298
01/01/2018 12:00:00 PM,ME,Sheltered ES Homeless Individuals,644
01/01/2018 12:00:00 PM,MI,Sheltered ES Homeless Individuals,3426
01/01/2018 12:00:00 PM,MN,Sheltered ES Homeless Individuals,2168
01/01/2018 12:00:00 PM,MO,Sheltered ES Homeless Individuals,1920
01/01/2018 12:00:00 PM,MP,Sheltered ES Homeless Individuals,22
01/01/2018 12:00:00 PM,MS,Sheltered ES Homeless Individuals,261
01/01/2018 12:00:00 PM,MT,Sheltered ES Homeless Individuals,541
01/01/2018 12:00:00 PM,NC,Sheltered ES Homeless Individuals,3577
01/01/2018 12:00:00 PM,ND,Sheltered ES Homeless Individuals,306
01/01/2018 12:00:00 PM,NE,Sheltered ES Homeless Individuals,1272
