,0
24,"Dial Appliance Center - Offers appliance repair and service across New York City. We have offices in Queens, Brooklyn, and Staten Island.www.dialappliance.com 718-368-1512  2156 Coyle Street  Brooklyn, NY 11229 "
25," DOG-E-DOG - your tried and true dog walking company of Greenpoint and Williamsburg, Brooklyn. We're Petsitting Professionals and local faves.dogedog.com87 Diamond St. Brooklyn, NY 11222  |  (603) 496-4361"
26," DOSS Media LLC. - a boutique agency, who's main vision is to provide the ""complete package solution"" for our client's creative needs.www.dossmedia.com271 Cadman Plaza E. Brooklyn, NY 21082  |  (800) 370-9052"
27,"Double R A Construction Corp. - Specializes in roofing, siding, windows, and more in parts of New York and Connecticut. Visit them online to set up your free estimate if you live in Mt. Kisco, White Plains, Greenwich, New Canaan, or another surrounding city.www.doubleraconstruction.com  | 914-775-7550"
28," Dr. Louis C. Cutolo, Jr., M.D., F.A.C.S - A board-certified plastic surgeon who offers facelift, breast augmentation, and more from his practice and medical spa. www.drcutolo.com  | 718-556-12011557 Victory Blvd.  Staten Island, NY 10314"
29,"Dumbo Moving & Storage - One of the biggest moving companies in NYC. We offer affordability without sacrificing quality. We like to move it, move it!dumbomoving.com  | 718-222-828215 N Oxford St.  Brooklyn, NY 11205 "
30," EIC PRODUCTION Corporate Video Production. Consult with an NYC video production team today. Corporate video production in NYC.corporatevideoproduction.nyc (888) 342-7468213 West 35th Street, Suite 307,  New York, NY 10001"
31,"Empire City Casino - Empire Cityâs Online Casino is free to play and built for entertainment, so you can experience real casino games for free.play.empirecitycasino.com 914-968-4200810 Yonkers Raceway,  Yonkers, NY 10704"
32," Escape Room NYC - Mission Escape Games - One of the premier escape room companies in New York, NY. Book today to find out why they are rated #1 in the US.missionescapegames.com/nyc/ 347-903-8860265 W37th Street, Suite 802A  New York, NY 10018"
33,"Eton Bray Group, LLC - Top-Tier Strategy & Marketing Consulting Firm. We help our clients improve marketing ROI and sales productivity.etonbray.com 212-595-1900 330 Madison Ave.  6th Floor New York, NY 10017 "
34,"Executive Enterprise - Executive Enterprise strives to create a learning environment where our team of talented people can grow into business professionals.executive-enterpriseny.com 631-754-6295100 Broadway Suite 1,  Massapequa, NY 11758"
35,"Expo Movers - Professional, Affordable NYC Moving and Storage Services Make your New York move safe and worry-free with a top-rated, full service mover.www.expomovers.com 212-321-39763214 54th St Woodside,  New York, NY 11377"
36," Feifer & Greenberg, LLP -We feel there is no other traffic ticket law firm that can match our experience, customer service and results.www.tickethelp.com/new-york-speeding-tickets/ (888) 842-538415 Maiden Lane, Suite 1208,  New York, NY 10038"
37,"FitBizLoans.com- Our mission is to help small business owners get the lowest rate on business loans.www.fitbizloans.com  | 646-583-1933315 Madison Ave. New York, NY 10017 "
38," Freelance Web Design of Long Island & NYC- a freelance web design and custom development company who specializes in websites and custom applications. Call us today.www.freelance-kid.net  | 844-853-9601 5254 Merrick Road Massapequa, NY 11758 "
39," Frost NYC - Sell high end gold hip hop jewelry, specializing in gold chains, cuban link chains, franco chains and much more.www.frostnyc.com  | 212-730-787920 W 47th St Suit 203 New York, NY 10036 "
40,"Garage Door Brooklyn - We provide professional, reliable service you need to successfully install, repair, and maintain the garage door in your business/residence.www.garagedoorbrooklyn.com  | 718-989-2059Ocean Pkwy Brooklyn, NY 11218 "
41,"Gentle Dental Bayside - Specializes in general and cosmetic dentistry, serving Flushing, College Point, Bayside, and surrounding areas.www.queenssmile.com  | 718-461-010035-30 Francis Lewis Blvd. New York, NY 11358 "
42,"GFD Courier - Offers same-day delivery, messenger, and courier services in the greater New York area.www.gfdcourier.com  | 212-896-1909244 5th Ave #2044 New York, NY 10001 "
43," GOGO Charters NYC - Offers charter bus rentals in NYC. Book today for your corporate event, wedding transportation, convention or church group.gogocharters.com/new-york-charter-bus  | 855-826-677017 State Street Suite 4000 New York, NY 10004"
44,"Gould Partners LLC. - The partners at Gould+Partners provide world-class business strategy solutions for public relations, media and creative service agencies.www.gould-partners.com  | 212-349-3644One Penn Plaza, Ste 5335  New York , NY 10119  "
45," Good & Gold Marketing - Local digital marketing firm specializing in helping small businesses and start ups in New York with SEO, SEM, e-mail marketing, and strategy..www.goodandgoldmarketing.com  | (917) 725-2314545 Prospect Place  New York, NY 11238"
46,"Grassi & Co. - A New York accounting and business consulting firm offering tax advice, technology consulting, and more to many industries.www.grassicpas.com  | 212-661-6166488 Madison Avenue  New York, NY 10022  "
47," Green City Movers Inc - Whether local or interstate, we will take you where you need to go. Manhattan, Bronx, Brooklyn, Queens, Staten Island, Long Island.www.greencitymovers.com (718) 576-37361 Carlton Ave  Brooklyn, NY 11205"
48,"Hammerman Jewels - unique in every way. Old world craftsmanship, ever changing designs and the highest quality precious stones are the hallmarks of every HAMMERMAN Collectible.hammermanjewels.com50 W 57th St, NY 10019 | (212) 956-2806"
49," Hi 5 Home Inspections- dedicated to providing the highest quality unbiased home inspection services to NYC homebuyers since 2005.www.hifive.biz (800) 251-10241430 127th Street  South Ozone Park, NY 11420"
50,"Hindsite- A creative website and web application firm. We're obsessed with building beautiful and functional products.www.hindsite.us (315) 825-1874 47 Rutland Road City  Brooklyn, NY 11225  "
51,"HomeRun Locksmith & Hardware - 24HR Locksmith Service 15 Min Arrival Time, in NY Metro Area , Licensed & Insured. Fast Response. Call Us Now! Toll Free 844-786-5625.homerunlocksmith.com 78 Beaver St #169  Brooklyn, NY 11206  "
52,Hop2TheTop- Provider of search engine marketing services for small and medium sized businesses.www.hop2thetop.com 888-919-4238203 Main Street  Flemington 08822 
53,"ICORP Investigations - New York private investigators, ICORP Investigations has been providing investigative services in NYC since 2008.Services are confidential.https://icorpinvestigations.com (212) 710-561677 Water Street, 8th Fl  New York, NY 10005"
54,"IDT Express - provides retail and wholesale telecommunication and financial services and products.http://idtexpress.com (973) 438-3111550 Broad Street  New York, NY 07102 "
55," iFix iBuy - We repair Apple iPhones as well as Samsung phones in New Rochelle. Offering a drop off service, your phone can be fixed usually the same day.www.ifixibuy.com/new-rochelle-ny(914) 233-3396137 Montgomery Cir New Rochelle, NY 10804"
56,"infoRouter Document Management Software - Our software will also reduce your risk and costs associated with e-discovery and a growing number of regulatory compliance guidelines.www.inforouter.com 631-218-7600218 Main Street, Suite 333 East Setauket, NY 11733 "
57,"Ivy Road Admissions, Inc. - MBA admissions consulting services available in NY. personal. We focus on MBA essay editing, MBA interview prep and more.www.admit1mba.com 917-300-1066PO box 750356 Forest Hills, NY 11375 "
58,"Jazz and Print - Offset & Digital Printing, Jazz ð· Music all day. Whatever your passion, Find a way to bring it to work everyday.www.jazzandprint.com (347) 763-2420238 Graham Avenue Brooklyn, NY 11206"
59," Krav Maga Experts - We instruct the individual and not the crowd. Itâs not about ego, competition or tradition.kravmagaexperts.com (646) 707-0388250 West 100th Street New York, NY 10025"
60," Law Offices of Lance Fletcher - NYC Criminal Defense Lawyer focusing on theft, grand larceny, dwi / dui, assault, desk appearance ticket, misdemeanor, and all felony cases.www.LawFletcher.com (212) 619-3900225 Broadway, suite 2700  New York, NY 10007 "
61," Law Offices of Julie Rendelman, LLC - Criminal defense firm representing individuals in New York state and federal crimes.Rendelmanlaw.com (212) 951-1232535 Fifth Avenue, 25th floor  New York, NY 10017"
62,"Lifetime Remodeling - Specializes in roof replacement, roof repair, and more in New York and New Jersey.www.lifetimecontractors.com 845-675-13556 Woodcrest Ct  West Nyack 10994 "
63,"Lightning Managed IT Solutions - Managed IT services for small and medium businesses in the NY Tri-State area at competitive rates.www.lightningmanagedit.com 646-681-1444 1375 Broadway, 10th FL New York, NY 10018 "
64,"Major Homes Corp - specializes in roof replacement, roof repair, remodeling, and more in the greater Yonkers, NY area. Visit them online to set up your free estimate if you live in Jamaica, Flushing, Queens, or another surrounding NY area.www.majorhomes.com48-52 Clearview Expy  Queens, NY 11364 | (631) 321-5209 "
65,"Mckay Strength Inc. - Trainers with a focus on self defense. Our course encompasses the physical, mental and emotional ablility required to save yourself.www.mckaystrength.com917 Sheridan Ave  Bronx, NY 10451 | (646) 504-2845 "
66,"MIA Organic - Offers 100% organic non-applicator plastic-free tampons delivered right to your door. For every subscription purchased we donate 1 for 1.www.miaorganic.com244 Fifth Avenue, Suite G280  New York, NY 10001 | (202) 802-6271 "
67," Mishiyeva Law, PLLC. - A law firm specializing in estate planning, probate, and estate administration.www.nycprobatelawyer.com (646) 535-166785 Broad Street 18th Floor  New York, NY 10004 "
68,"New My Printing World - Custom printed Catalogues and Brochures, Flyers, Logos, Hang Tags, Posters, Invitations, Postcards,Business Cards and More.www.myprintingworld.com |  (917) 383-08882309 29th Street  Astoria, NY 11105"
69,"New Look New Life - We believe cosmetic surgery can play a transformative role in revealing and enhancing each patientâs personal beauty.www.newlooknewlife.com |  646-559-2854200 West 57th Street, Suite 710  New York, NY 10019 "
70," New York Car Accident Lawyer - Injured in an accident? Free Consultation Â· Top New York Law Firm Â· Best Legal Representation Â· Experienced Car Accident Lawyer.www.nylawyercaraccident.com |  212-252-2081244 5th Avenue P221  New York, NY 10001"
71,"Neptune Air Conditioning, Inc. - We sell, service & install 20 plus brands of air conditioners. We are considered New York's finest HVAC contractor and Winter Storage Co.www.airconditioninginnyc.com  646-863-2132575 Lexington Ave, Fl 4  New York, NY 10022  "
72,"New York Assisted Living - If you are looking into senior living communities in New York City, then you need to take assisted living into consideration.http://www.senioradvisor.com 1-844-262-9820"
73,"New York Carpet Cleaning, Inc. - Provider of carpet cleaning, rug cleaning services to keep New York homes and business looking their best.www.newyorkcarpetcleaning.com 212-300-574444 5th Ave. Ste. 2120  New York, NY 10001 "
74,"Noble Abode - Created with one simple goal in mind: to help create stunning and affordable living spaces you can't wait to come home to.www.nobleabode.com 917-268-855384 S 1st Street, Suite 3B New York, NY 11249 "
75," NY Advocates 4 Kids - Advocating for Special Needs, Homeschool and Gifted students whose needs arenât being met in the school system.www.nyadvocates4kids.com (212) 457-1635641 Lexington Ave New York, NY 10022 "
76," NY Brite - offers professional and affordable cleaning service in New York City. We clean offices, homes, and more.www.nybrite.com 212-763-0042509 Grand Street New York, NY 10002 "
77," NY Video Productions - Film production company for New York.www.nyvideoproductions.com (631) 428-724627 Family Lane Suite 1A Levittown, NY 11756 "
78,"oneblowdrybar - a blow out salon . no cuts , no color just blow dry at $40. Don't want to leave the house no problem ! we'll come to you!.www.oneblowdrybar.com (646) 650-5593151 W34th Street Macy's Herald Square, NY 10001 "
79,"Paper Street Real Estate LLC - A real estate brokerage firm that assists both buyers and sellers with their realty transactions. We help market & sell your property. paperstreetrealestate.com (646) 945-372785 Broad Street 16th Floor New York, NY 10004"
80,"Park and Willow L.L.C - Are you thirsty? Any drink you like, we have and will deliver it to your home and office. No charge. Five free cases of Spring Water!www.ParkAndWillow.com 877-746-7123255 West 36th Street New York, NY 10018 "
81,"Dr. Philip Miller - specializes exclusively in facial plastic surgery in New York and prides himself on achieving natural looking results.drphilipmiller.com  (646) 791-302560 E 56th St #300 New York, NY 10022"
82,"Revaluate- Revaluate lets you know what itâs like to live at a specific locationâ¦before you move there.revaluate.com  917-499-4711150 East 57th St Unit 29A  New York, NY 10022  "
83,"Robert Window Cleaning - Professional window cleaning and fix.www.rwindowc.com 917-224-30205738 65 St  Maspeth, NY 11378  "
84,"Rock Paper Team LLC  - We create customized events to strengthen bonds and bring out the best in people. Our services make your days more enjoyable and productive.www.rockpaperteam.com  212-925-560454 West 40th St  New York, NY 10018"
85," Roll Up Doors NYC - Roll up gate and door Installation and repair and 24 hour emergency gate repair service.www.rollupdoors.biz  (877) 575-420865-04 Forest Ave. Queens, NY 11385"
86,"Segura Worldwide LLC - Corporate Headquarters for the following businesses: Segura Executive Transportation, Segura Financial, Segura Cleaning Services.www.seguraexecutive.com (718) 749-9555 118-35 Queens Blvd, Ste 400, Forest Hills, NY 11375"
87,"Sensitive Touch - We are known for laser hair removal treatment and all services related to Botox, tattoo removal, and other facial rejuvenation techniques.www.sensitivetouch.com 212-339-9956135 E. 55th St. (8th FL.) 10022 "
88,"Simple Blue Plumbing and Heating - Our mission is to provide the highest level of quality for every maintenance job we are complete, whether commercial or residential.www.simpleblueplumbing.com.com 212-339-995614711 34th Ave Flushing, NY 11354 "
89,"Shop Glam Expressway - Shop Glam Expressway is your online destination for trendy, edgy, and affordable Fashion Jewelry and Accessories! We ship internationally!www.ShopGlamExpressway.com 347-206-3583100 Jay Street  Brooklyn, NY 11201 "
90,"Signature Auto - Offers auto leasing across New York City, with offices in both Brooklyn and Staten Island.signatureautoworld.com  718-772-0099 9263-9265 4th Ave.  Brooklyn, NY 11209"
91,"Smart Choice Carpet - The ultimate solution for your carpet cleaning needs in Manhattan and the surroundings areas.www.smartchoicecarpet-ny.com 212-361-9865237 East 33rd  New York, NY 10016 "
92,"Spy Tec - Provides hidden cameras and surveillance equipment, Spy Tec was established on 2004 and since then served thousands of customers.www.spytecinc.com 877-212-7400135 W. 36th St., 13th Floor  New York, NY 10018 "
93,"StatenWeb - Staten Island-based web design agency that specializes in web development, search engine optimization, local SEO & brand management. http://statenweb.com 718-569-8123 296 Burbank Avenue  Staten Island, NY 10306 "
94,"Sun Light Fine Rug Care & Restoration - Professional rug cleaning service in Brooklyn ,New York.free estimate , pickup & delivery. www.sunlightfinerugcare.com/ 718-697-7374390 Hooper St Brooklyn, NY 10020 "
95,"Synergy Business Brokers - A leading M & A firm focused on selling companies with annual revenues of $600,000 to $40 Million.synergybb.com 914-738-93507 Schuyler Street New Rochelle, NY 10801"
96," Rug Pro NYC - Professional rug cleaning services in NYC. We specialize in rug repair, stain removal, carpet cleaning. Free pickup & delivery. Free estimates. www.rugcleaningnyc.net 212-994-27091271 Avenue of the Americas New York City, NY 10020 "
97," The Blanch Law Firm - Top rated criminal defense attorneys. As seen in Super Lawyers and U.S. News and World Report.www.blanchpc.com 212-736-3900261 Madison Avenue New York, NY 10016"
98," The Clean Bedroom - An independent retailer of the finest organic mattresses and bedding in the world.www.thecleanbedroom.com 212-764-3232230 5th Ave, Suite 1807 New York, NY 10001"
99,"The Riviere Agency - Marketing, PR, social media and events for fashion, beauty, travel and other lifestyle brands. We have packages to cater to every budget.www.theriviereagency.com 646-741-2099 325 West 38th Street, Suite 1700 New York, NY 10018 "
100,"Thomas P. Sterry, MD - A board-certified plastic surgeon in New York specializing in cosmetic procedures for the face, body, and breasts.www.drsterry.com/ (212) 249-40201080 5th Avenue #1b New York, NY 10128"
101,"Total Dealer Compliance - A compliance-auditing firm with an E-Learning Platform for auto dealers to ensure compliance with regulations.www.totaldealercompliance.com 888-243-5204733 3rd Avenue New York, NY 10017"
102,"TradeMarkers- a team of trademark and intellectual property attorneys. We helped companies gain worldwide protection for their brands.www.trademarkers.com 212-468-5517246 West Broadway New York, NY 10013"
103,"Transfer Co - a simple way to transfer large files anytime and anywhere which guarantees the security of its customers. Free and easy.www.transfer.co 512-931-4842W 29 Street New York, NY 10001"
104," Tri State Garage Services- a leading provider in the Garage Door industry and has been serving NY residents for over two decades.www.tristategarageservices.com (917) 547-5438171 Campbell Ave. Staten Island, NY 10310"
105,"OrthoSnap New York - todayâs only alternative to traditional metal braces, providing you with unnoticeable solution throughout your treatment.www.orthosnapny.com 844-678-4676897 Park Ave. New York, NY 10075133-A West End Ave. Brooklyn, NY 11235 "
106,"Paragon Security - New York locksmith offering a range of security services to businesses and homes all across New York City.paragonsecurityny.com  (212) 488-659086 Christopher Street  Queens, NY 11105"
107,"Park Dental Care - Park Dental of Astoria offers cosmetic dentistry services in Queens, New York.www.718dentist.com 718-274-151529-14 Ditmars Blvd. New York, NY 10014"
108,"Prevu Real Estate - A tech-enabled real estate brokerage. Our Smart Buyerâ¢ commission rebate in NYC saves homebuyers up to 2% of their purchase price.www.prevuapp.com 646-603-6868575 Fifth Avenue, 14th Floor New York, NY 10017 "
109,"Queens Boiler Repair Pros - boiler repair and installation contractor serving Queens, NY. We serve residential, commercial, and industrial boiler clientele.www.queenscoboilers.com (347) 318-115610306 Liberty Ave, #2A Ozone Park, NY 11417"
110,"spiral2grow Marriage Family Therapy - Among the top counseling practices in NYC, specializes in Psychotherapy, Coaching, Couples Counseling.spiral2grow.com (917) 692-3867 260 Madison Ave (#8023) New York, NY 10016"
111,"Williamsburg Yoga Psychotherapy - Integrating modern therapy with the wisdom of yoga, we offer an effective approach to treating relationships, depression, anxiety and more.www.suzydaren.com (646) 504-7218169 Wythe Brooklyn, NY 11249"
112,"Window Tinting Brooklyn - We are a local window tinting company located in Brooklyn, NY. We have a variety window tinting services. Call us today for an estimate!!www.brooklynwindowtinting.com(347) 377-27171703 East 14th Street #9  New York, NY 11229  "
113," Witzmani Dental Care - a family dentistry located near the new Queens Center Mall. We serve all of queens and surrounding area.www.amazingsmilenyc.com (718) 305-195660-51 Woodhaven Blvd Elmhurst, NY 11373"
114,"Worden Capital Management - A comprehensive financial services firm committed to helping our clients improve their long-term financial success.www.wordencapital.com (516) 621-0218100 Ring Road (#210)  Garden City, NY 11530"
115," Wright Law Firm PC - Manhattan Business Lawyers. We handle the purchase and sale of businesses, the negotiation of retail and office leases and civil litgation.www.wrightlawfirmnyc.com (212) 619-1500270 Madison Avenue Suite (#1203)  New York, NY 10016"
116,"Your In-House Art Dept. - A group of talented NY art directors and graphic designers, professionals in all facets of creative design and development.www.yourinhouseartdept.com 516-761-3600485 S. Broadway STE 3 Hicksville, NY 11801"
117,"zibber CONSTRUCTION - Home Remodeling and Repair, Carpentry, Electricity, Painting, Plastering, Plumbing, and Handyman Services. NO JOB TOO BIG OR TOO SMALL!www.zibber-remodeling-repair.com 646-326-9312 5029 42 St, Sunnyside, NY 11104"
118,"ZugBu Events Management Company - An events management company which develop events that allow small business owners to connect with their customers.www.zugbuevents.com 718-205 75016901 35th Ave, New York, NY 11377"
