DonorZip,DonorBudget,Shelter1
949,50,0
334,10,0
707,50,0
303,150,0
627,181,0
782,40,0
321,168.32,0
327,25,0
339,50,0
100,50,0
917,200,0
653,130.78,0
,50,0
21,10,0
21,50,0
985,250,0
778,20,0
913,50,0
24,50,0
807,25,0
300,10,0
17,19.5,0
302,100,0
486,5,0
,50,0
481,342.48,0
,25,0
711,10,0
66,100,0
,20,0
606,20,0
496,10,0
,200,0
430,10,0
932,5,0
,35,0
,5,0
722,5,0
959,25,0
333,20,1
,20,1
,10,1
941,20,1
450,100,1
481,15,1
,113.26,1
906,75,1
157,129.26,1
934,25,1
980,1,1
920,1,1
481,1,1
208,5,1
946,70,1
,1,1
233,5,1
501,1,1
282,1,1
600,37.11,1
500,15,1
912,1,1
606,20,1
73,50,1
,60,1
945,20,1
193,50,1
432,100,1
328,25,1
774,154.01,1
370,50,1
752,479.93,1
776,10,1
190,93,1
113,314.61,1
765,50,1
70,100,1
303,50,1
928,25,1
852,658.18,1
272,25,1
331,25,1
775,50,1
100,50,1
787,30.48,1
70,50,1
761,25,1
70,10,1
68,25,1
70,25,1
647,25,1
30,25,1
238,50,1
80,25,1
277,169.14,1
371,5,1
640,1,1
674,1,1
189,1,1
278,1,1
941,1,1
891,1,1
352,1,1
,25,1
21,50,1
920,10,1
,99,1
553,5,1
931,174.06,1
,25,1
,75,1
103,1,1
904,1,1
483,2,1
455,25,1
770,25,1
852,10,1
750,5,1
336,50,1
276,1,1
281,25,1
756,50,1
672,2,1
530,2,1
24,1,1
606,1,1
,1,1
900,25,1
920,100,1
,25,1
65,10,1
,25,1
13,25,1
967,25,1
335,100.58,1
357,50,1
282,50,1
211,25,1
535,25,1
322,25,1
363,10,1
,36,1
301,25,1
981,25,1
,25,1
760,50,1
330,100,1
935,100,1
559,25,1
553,207.09,1
371,50,1
,40,1
74,20,1
906,25,1
945,25,1
377,10,1
770,17.48,1
329,25,1
275,50,1
283,25,1
,100,1
15,200,1
191,200,1
300,100,1
290,100,1
900,100,1
276,100,1
112,218.24,1
349,100,1
619,25,1
88,100,1
778,25,1
260,10,1
481,5,1
308,50,1
328,10,1
,25,1
481,46.29,1
189,25,1
,10,1
977,20,1
300,10,1
640,30,1
802,2,1
305,75.93,1
462,100,1
62,18,1
234,29.06,1
,25,1
40,20,1
750,10,1
293,50,1
,25,1
328,20,1
751,98,1
41,10,1
306,25,1
401,5,1
945,25,1
,50,1
950,10,1
871,50,1
600,50,1
604,50,1
676,30,1
,436,1
770,50,1
606,110,1
82,20,1
907,132.24,1
,50,1
483,50,1
392,25,1
21,25,1
405,25,1
,10,1
598,50,1
600,162.45,1
615,25,1
950,20,1
607,75,1
70,5,1
775,105,1
276,100,1
554,10,1
233,20,1
852,50,1
853,50,1
162,50,1
28,50,1
,20,1
741,322.61,1
799,25,1
342,25,1
802,35,1
327,25,1
956,20,1
291,10,1
,12.34,1
63,12.5,1
912,12.34,1
322,10,1
,50,1
285,39.68,1
452,25,1
920,100,1
,118,1
531,10,1
300,50,1
381,50,1
283,50,1
837,141.83,1
606,50,1
18,10,1
631,50,1
443,32.47,1
452,10,1
972,10,1
87,50,1
992,13,1
,10,1
236,15,1
502,356.72,1
605,25,1
891,25,1
322,25,1
670,25,1
945,25,1
941,250,1
531,50,1
278,15,1
793,135,1
600,100,1
983,20,1
430,10,1
450,100,1
988,346.91,1
290,50,1
34,50,1
960,25,1
840,25,1
551,100,1
342,243.58,1
10,50,1
535,113.59,1
109,43,1
765,20,1
936,50,1
100,59.87,1
,25,1
746,60,1
447,100,1
,25,1
105,50,1
101,18.07,1
334,25,1
337,15,1
940,25,1
356,250,1
945,27.25,1
107,40,1
900,10,1
,40,1
787,6,1
752,25,1
,30,1
983,50,1
462,25,1
460,123.06,1
704,50,1
319,50,1
761,50,1
240,15,1
112,50,1
550,50,1
172,50,1
212,100,1
707,50,1
705,15,1
234,50,1
450,50,1
752,50,1
166,50,1
787,15,1
900,15,1
208,10,1
300,50,1
105,50,1
470,100,1
28,187.31,1
331,25,1
