,Name,Location,Phone,Description
30,Central Presbyterian Church - Central Night Shelter For Men),"Atlanta, GA 30301",404-601-3144,"homeless men, night shelter, all volunteer non-profit, hot meal, access to medical and foot care,"
31,Catholic Shrine Of The Immaculate Conception - Central Night Shelter for Men,"Atlanta, GA 30303",(404) 521-1866,"night shelter, overnight assistanc"
32,"Community Concerns, Inc.","Atlanta, GA 30312",(404) 659-3390,"emergency Shelter for single women, transitional housing,"
33,Open Door Community/protestant Catholic Worker House,"Atlanta, GA 30306",404-874-9652,"homeless, women's showers, men's showers, bathroom, soup kitch"
34,Atlanta Mission Administrative Office,"Atlanta, GA 30318",588-4000,"day shelter for women and children, men shelter, emergency shelter, job training. cje,oca;;u addocted ,em om residential recovey and transitional ho"
35,Atlanta Union Mission - Fuqua Hall,"Atlanta, GA 30313",(404) 350-1300,"emergency overnight shleter or temporary shelter, long-term residential recovery"
36,Atlanta Mission - Atlanta Day Shelter for Women and Children,"Atlanta, GA 30318",404) 588-4007,"clothing closet, laundry, MARTA Cards for medical appointments, medical care, life skills classes, recreational opportunities, homeless women, needs assessment, job attainment, personal developm"
37,Our House,"Atlanta, GA 30312",404-522-6056,"early childhood education, homelessness, support services to families. childcare and support center for homeless fam"
38,Alternate Life Paths,"Atlanta, GA 30315",404-688-1002,"emergency housing for youth 13 to 18, transitional housing for young women 17 to 21, GED courses 16 to 21 yrs old"
39,Phoenix Rising Center for Women Veterans,"Atlanta, GA 30362",770-875-3968,Transitional Housing for veteran women.
40,Clifton Sanctuary Ministries Atlanta,"Atlanta, GA 30307",(404)373-3253,"Transitional Housing, Non Profit Organizatio"
41,Atlanta Union Mission Administrative Offices,"Atlanta, GA 30318",(404)588-4000,"Transitional Housing, Non Profit Organizatio"
42,Buckhead Christian Ministry Atlanta,"Atlanta, GA 30305",Transitional Ho,
