,0
34," The Salvation Army - Divisional Headquarters  Norcross, GA 3009315.63 miles from city center Atlanta  770-441-6200Contact for area homeless shelter availability.The Salvation Army of Georgia provides the following services and programs;    Emergency Financial Assistance    Homeless Shelters and Feeding Programs    Drug and Rehabilitation    "
35," Open Hearts Youth Shelter  Redan, GA 3007415.71 miles from city center Atlanta  770-912-2972The Open Hearts Youth Shelter is a voluntary,   short-term residential emergency shelter and crisis intervention service for youth ages 10-18 years old who have run away from home, have been pushed out of their homes, are homeless or who are acting out and at-risk for abuse.    We are located in Lit    "
36," Elizabeth Inn Emergency Shelter (Marietta)  Marietta, GA 3006017.30 miles from city center Atlanta  770-427-9862Shelter for men  women  and children. Please arrive no earlier than 4:30 pm daily to stand in line.  Space is limited and is offered on a first come first served basis, depending on availability.  The priority is given to families and returning prospective guests (from the day before).      "
37," Men's Assessment Center  Douglasville, GA 3013418.22 miles from city center Atlanta  678-715-1300The Men's Assessment Center is a Christ-centered facility designed to connect homeless individuals with their needs based on structured assessment (i.e. mental health, substance abuse and economical) in a triage approach.    Our Mission is to serve the homeless men of our community.     "
38," Douglas County Homeless Shelter  Douglasville, GA 3013418.39 miles from city center Atlanta  770.949.4911The Douglas County Homeless Shelter is for transitional families and emergency shelter. The shelter takes single women and transitional families when space is available. All of the residents must be able to work or seek employment to live there.    "
39," SHARE House Family Violence Crisis Center  Douglasville, GA 3013319.80 miles from city center Atlanta  770.949.062624 Hour Crisis Line: 770.489.7513Staffed by trained advocates to provide immediate response to battered women in need.Emergency Shelter25 bed shelter available with 24 hour intake for battered and homeless women and children.Transitional ProgramA stepping stone for wome    "
40," Rainbow Village, Inc.  Duluth, GA 3009622.42 miles from city center Atlanta  770-497-1888Rainbow Village's mission is to transform lives for homeless families with children of North Metro Atlanta through a community-based transitional housing program that promotes self-sufficiency.    Rainbow Village is NOT an emergency shelter and is not able to provide short-term emergency    "
41," Women of Excellence - Transitional Home  Hampton, GA 3022824.37 miles from city center Atlanta  404-405-4023We have a women's transitional home locate in the city of Barnesville that houses homeless and battered an abuse women and women coming out of prison.W.O.E. is a faith-based housing, therefore, we believe that every person should be given another chance at life through Christ Jesus. We a    "
42," Family Promise of Gwinnett County  Lawrenceville, GA 3004424.95 miles from city center Atlanta  678-376-8950Family Promise of Gwinnett provides 24 hour shelter, meals, transportation and supportive services for up to 90 days. The program is a partnership with faith communities throughout Gwinnett County; however, religious values are not imposed on our guests.   In p    "
43," Maranatha House Ministries, Inc.  Suwanee, GA 3002427.82 miles from city center Atlanta  678-725-1146Situated on 33 acres in Northeast Georgia, Maranatha House is the first and only female head-of-household transitional shelter offering stays of up to one year. Located in Gwinnett Count, the facility offers housing for up to forty families and relies solely on private funding and donations for its     "
44, FoodGeorgia Food Banks & Soup Kitchens  Find Food Banks & Soup Kitchens 
45, SheltersFulton County Homeless Shelters See All Shelters in Fulton County 
46, HealthFree Dental Care Clinics Find Free Dental Clinics 
47, HealthFree Treatment Centers Find Free & Low Cost Drug Rehab and Alcohol Detox Treatment Centers 
48, McDonald's $1 Menu Helping The Homeless Survive                  The Homeless Shelter Directory would like to give a great thank you to the people of McDonald's for providing your one dollar menu.     In our recent survey asking the homeless how they su [read more]              
49," Homeless Population Statistics In Florida                  According to WPEC channel 12 West Palm Beach, the current Florida homeless population is 43,000.   They also reported the Palm Beach County and Treasure Coast homeless population is curren [read more]              "
50, Louis Armstrong Park Homeless                  Guest article from Peter J. Hatas in response to the New Homeless Article  In 2004 I traveled to Ne [read more]              
51, Homeless Shelters in Chicago 
52, Homeless Shelters in Michigan 
53, Homeless Shelters California 
54, Homeless Shelters in Orlando 
55, NYC Homeless Shelters 
56, San Diego Homeless Shelters 
57, Los Angeles Homeless Shelters 
58, Homeless Shelters in Chicago 
59, Homeless Shelters in Michigan 
60, Homeless Shelters California 
61, Homeless Shelters in Orlando 
62, NYC Homeless Shelters 
